File,param_LDA__solver,params,mean_test_score,std_test_score
D3S05I_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6604166666666667,0.1287796621710466
D3S05I_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6604166666666667,0.1287796621710466
D3S05I_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6604166666666667,0.1287796621710466
D3S03I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.75,0.11180339887498948
D3S03I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.75,0.11180339887498948
D3S03I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.75,0.11180339887498948
D3S06I_S01_FI4S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7375,0.1050793351076541
D3S06I_S01_FI4S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7375,0.1050793351076541
D3S06I_S01_FI4S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7375,0.1050793351076541
D3S07I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7895833333333333,0.09747239637741321
D3S07I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7895833333333333,0.09747239637741321
D3S07I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7895833333333333,0.09747239637741321
D3S08I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.64375,0.11541365820387117
D3S08I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.64375,0.11541365820387117
D3S08I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.64375,0.11541365820387117
D3S12I_S01_FI2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.6583333333333333,0.11380416903123053
D3S12I_S01_FI2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.6583333333333333,0.11380416903123053
D3S12I_S01_FI2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6583333333333333,0.11380416903123053
D3S08I_S01_NF2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.625,0.128086884574495
